"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATP6V0D2",105.64897261289,-2.67728151684244,0.618347881052074,-4.32973347023886,1.49289919681547e-05,0.00328259605189986
"FAT3",94.7834238162484,1.92994835642517,0.448263716395655,4.30538606145344,1.6669477082474e-05,0.00336041211695121
"OVGP1",14.8203846985644,-3.19812560126795,0.74329034410208,-4.30265995871559,1.68759750597057e-05,0.00336041211695121
"GUCY1A3",709.035761318428,1.13838545946256,0.264543106828865,4.30321346531623,1.68338515650234e-05,0.00336041211695121
"MMP12",1001.61972235736,-2.25976229029052,0.52626600328826,-4.29395453282348,1.75518433998337e-05,0.00345298006840099
"FAM212B",148.738775775601,1.15484297305699,0.271110002227224,4.25968412662655,2.0471600097827e-05,0.00393887083640497
"NEURL3",222.378611512351,-2.41625236286026,0.568729605771151,-4.2485081457717,2.15198823185775e-05,0.00409556108169535
"FKBP5",6503.20929622268,-1.50665867238967,0.356941288938349,-4.22102659199481,2.4319224293947e-05,0.00448216103329177
"C5AR1",1127.87103249911,-1.790706758003,0.425267704710347,-4.21077532615054,2.54495751976332e-05,0.00459377950655009
"COL14A1",4668.01655387258,1.10980959286743,0.264408419879609,4.19733075585398,2.7007934979698e-05,0.00471321021479069
"FAT4",802.802224873352,1.30557547149618,0.311326295990054,4.19359202326387,2.74571615688303e-05,0.00471321021479069
"MYLK",19635.8777145031,1.15549990575902,0.276920532880943,4.17267688220074,3.01041724738611e-05,0.00506821111389264
"FNDC1",427.722179938378,1.5617480020925,0.376084950589087,4.15264689439509,3.28651654650153e-05,0.00518410974889146
"GUCY1B3",1058.26827797468,1.13635151661205,0.273448649690057,4.15563038215789,3.24391889021335e-05,0.00518410974889146
"MILR1",475.075127223123,-1.77123903276067,0.425694004697524,-4.16082682211891,3.17097477113666e-05,0.00518410974889146
"PRAM1",320.409106823318,-1.75162485166509,0.4212710417091,-4.1579521928655,3.21113201715794e-05,0.00518410974889146
"CHIT1",383.151304792902,-2.67474962928438,0.645575891490238,-4.14319937367864,3.42493945655684e-05,0.00531527059567306
"FABP5",2345.03864454997,-1.32366079115888,0.320082855559858,-4.13536922758223,3.54384378833219e-05,0.00535262263932065
"APOBEC1",597.152407358173,-1.64601109023473,0.397851915896478,-4.13724560437462,3.51499812583266e-05,0.00535262263932065
"LGALS9",5547.60466694835,-1.96884471082175,0.477312527900754,-4.12485446271614,3.70969260069606e-05,0.00550449218182943
