"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNASE6",1032.93478532499,1.6474155156918,0.381192946909037,4.32173661409565,1.54805919176656e-05,0.00328188548654511
"OAS2",3510.63517999962,2.39570923679875,0.555343059708323,4.31392667094286,1.60380162035665e-05,0.00334019216674531
"MILR1",475.075127223123,2.05427123240797,0.476854925943419,4.3079585019359,1.64768288251834e-05,0.00337534318135667
"ETV7",308.417717780456,2.78510213400518,0.647492542704132,4.30136557615586,1.69748738785376e-05,0.0034387322283722
"APOBEC1",597.152407358173,1.91343713599173,0.445755405716883,4.29257191601403,1.76615318393536e-05,0.00351395670107041
"ADIPOQ",368.658154902893,-2.67370589769368,0.622995759816344,-4.29169196670274,1.77316814665685e-05,0.00351395670107041
"ACOD1",908.245629158008,3.03531865582966,0.710845679089825,4.27001070009474,1.95463589812368e-05,0.00382690937779634
"RPL34",5141.97170733529,1.69619672448281,0.397429635505668,4.2679170674443,1.9730664848226e-05,0.00382690937779634
"SAMD9L",5614.01202742183,2.09633210304593,0.491849219474792,4.26214380351045,2.02475074406678e-05,0.00388581637535005
"PLAC8",10148.795424758,2.61758372764835,0.622272237096527,4.20649286855829,2.59364264023771e-05,0.0046360090800798
"IGSF6",668.605285292872,1.68527720776902,0.402988679763498,4.18194677021215,2.89023644906178e-05,0.005066806821086
"CXCR1",240.835909720049,1.88168002738481,0.450667367088713,4.17531901530915,2.97568751929647e-05,0.00516692712874412
"UBA7",2571.8091844983,1.94962407261411,0.467686309306034,4.16865756773385,3.06398910868687e-05,0.00522080835790457
"RTP4",2966.93090091719,1.8219747272738,0.43841741095097,4.15579920359859,3.24152423867396e-05,0.00547217314069478
"NLRP3",156.721698485967,1.88140993843527,0.455894766236656,4.12685136520877,3.67763921335688e-05,0.00604060523765069
"UBE2L6",2393.20765962444,1.65987376519519,0.405047255883437,4.09797558453984,4.16779229434543e-05,0.00666554290443034
"CCR5",143.518829284083,2.17697895636027,0.534274872571123,4.07464222654505,4.60851414948487e-05,0.00730629825855724
"PRAM1",320.409106823318,1.89840860468548,0.471398500350064,4.02718422582107,5.64488031098309e-05,0.00861994459507505
"IL10",57.5838663776249,1.6844805753577,0.418951631244024,4.02070418094769,5.80244319653269e-05,0.00868430894505695
"PARP12",3140.84589853092,1.00027908247306,0.248803876219653,4.02035168290537,5.81113257622284e-05,0.00868430894505695
"C5AR1",1127.87103249911,1.91312231430304,0.476099058674588,4.01832828577519,5.86124994294732e-05,0.00868799259835899
"MSR1",462.325089619158,2.27336873310689,0.568269972041536,4.0005082882344,6.32065732239446e-05,0.00921905794415167
"EPSTI1",1800.42511430073,1.91244399544468,0.480601737725052,3.9792698305614,6.91272486351518e-05,0.010002603151715
"IL4I1",219.826347789249,2.65834267999101,0.669592876615331,3.97008805324878,7.18460751374227e-05,0.0103141546606732
"MAL",832.790618030152,2.8170675173902,0.711040782968763,3.9618930233907,7.43578572907398e-05,0.0104475619610341
"CCR1",168.371733968522,2.51692315085347,0.634827492840683,3.96473558445132,7.34773489074564e-05,0.0104475619610341
"IL15RA",220.138541128972,1.20819399307882,0.305398910620856,3.95611755989123,7.61776841848712e-05,0.0106020728096074
"FKBP5",6503.20929622268,1.57381703535488,0.399625283299369,3.938231891539,8.20842456125578e-05,0.0113375755000618
