"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCL2",133.018545930131,-3.70299622748976,0.995209818288466,-3.72081962963154,0.000198577234669745,0.0449867698906368
"CCL5",734.280725379794,-6.19069715302547,1.31717872999682,-4.69996744712119,2.60202965185547e-06,0.00230428634519113
"PGF",312.946206272311,-7.30314293875749,1.4423345643832,-5.06341809944811,4.11805341182787e-07,0.000715855187340065
"RPS6KL1",527.810310699934,-5.22492276693802,1.38650937171658,-3.76840061345511,0.000164296875452455,0.044509637363354
"SCML2",13.9415268372609,1.40489758575742,0.375746359686931,3.73895195399357,0.000184789036600875,0.044509637363354
"LOC100342837",71.1767591511519,-23.5213023864392,3.50472048230936,-6.71132049051182,1.92870963562655e-11,2.88380664718882e-07
"ORM1",48563.4149896089,-8.36104373396864,1.458580195013,-5.7323167848814,9.90680223452342e-09,3.70316267526486e-05
"MCP-1",79.1113441922875,-4.59216278371063,1.22723455455306,-3.74187865447043,0.000182649710421493,0.044509637363354
"RSAD2",2111.89962246386,-4.90355819887253,1.30665929445105,-3.75274428437184,0.000174909250969983,0.044509637363354
"LOC108178941",98.7379943871776,-4.97072975331617,1.25741166236458,-3.95314430595359,7.71308879018531e-05,0.0295707957925258
"FANK1",15.1267669125191,1.57403518564399,0.412309103274539,3.81760958742623,0.000134750938267044,0.0411182863054866
"SAA3",5398.54680703892,-6.3635928211793,1.35436831380945,-4.69856888727729,2.61990823088879e-06,0.00230428634519113
"LOC100342244",9306.57754769914,-5.68798791885645,1.13583815175558,-5.00774508240014,5.50714050373397e-07,0.000748570589198458
"LOC100009259",93402.1432698554,-7.40486496539124,1.39666965473028,-5.3018012815788,1.14665619112844e-07,0.000244925762425034
"LOC100356242",5241.70714869251,-5.38100600732653,1.33735362953059,-4.02362239014915,5.73097797701527e-05,0.0267145353121559
"HCST",111.093292854453,-5.0079461466413,1.26326139163735,-3.96429921771801,7.36118736245797e-05,0.028964335116703
"FPR2",99.6561703361764,-5.23166126401504,1.3419746024214,-3.8984800864154,9.67983594361117e-05,0.0321628682286387
"LOC103345547",17.9691822353777,2.61373208775206,0.569928636517244,4.5860690624781,4.51669249554167e-06,0.00355439927333364
"LOC100348443",336.80948561454,-6.78648729481743,1.40309630019362,-4.83679366404211,1.31950273877343e-06,0.00131528033000936
"ACTA1",676.150035652912,-8.8539541075487,2.36664902622844,-3.74113525471016,0.000183190895332573,0.044509637363354
"NLRP3",97.9400471454175,-4.07801223500998,1.03671796842856,-3.93357919819925,8.36902462829014e-05,0.0303390419401273
"RN18S",4356.95181222619,-1.95848423346015,0.521404089940474,-3.75617351540863,0.000172531094544966,0.044509637363354
"CACNA1E_1",44.1869846112246,2.39116747001885,0.64378974964841,3.71420556373371,0.000203843049610759,0.0454904668325384
"LOC100350385",118.544502728521,-5.32219847667363,1.34024769317126,-3.97105587556012,7.15547930564399e-05,0.028964335116703
